Наименование товара;Цена розничная;Минимальная партия, шт;Количество в упаковке;Изображение;Производитель
Напиток пивной «Garage» Hard Lingonberry, 4.6%, 0.4 л;2.39;6;20;https://img.unistore.by/UserFiles/images/catalog/Goods/1739/01401739/norm/thumbs/01401739.n_1_1000x1000.png.jpg?1684560606;60 ккал/ 250 кДж
Напиток пивной «Garage» Hardcore Pineapple, 6.0%, 0.4 л, Беларусь;2.45;6;20;https://img.unistore.by/UserFiles/images/catalog/Goods/1762/01401762/norm/thumbs/01401762.n_1_1000x1000.png.jpg?1684560606;55 ккал/ 220 кДж
Сидр «FRIZZANTE» (белый) 0.75л;5.29;1;6;https://img.unistore.by/UserFiles/images/catalog/Goods/8110/01788110/norm/thumbs/01788110.n_1_1000x1000.png.jpg?1684560606;Frizzante
Сидр «FRIZZANTE» (красный) 0.75л;5.29;1;6;https://img.unistore.by/UserFiles/images/catalog/Goods/8111/01788111/norm/thumbs/01788111.n_1_1000x1000.png.jpg?1684560606;Frizzante
Вино«CHA.D ETOILI»(каб,кр.п/сл/ал)0.75л;7.66;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/8397/01598397/norm/thumbs/01598397.n_1_1000x1000.png.jpg?1684560606;Etoili
Винный напиток игристый «Santo Stefano» белый полусухой, 6.9%, 0.75 л, Россия;7.75;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/2658/01312658/norm/thumbs/01312658.n_1_1000x1000.png.jpg?1684560606;АО «Евразийская алкогольная группа» 140103, Московская обл., г. Раменское, шоссе Донинское, 4-й километр, Россия.
Винный напиток игристый «Santo Stefano» белый, 6.9%, 0.75 л, Россия;7.75;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/2657/01312657/norm/thumbs/01312657.n_1_1000x1000.png.jpg?1684560606;АО «Евразийская алкогольная группа» 140103, Московская обл., г. Раменское, шоссе Донинское, 4-й километр, Россия.
Винный напиток игристый «Santo Stefano» Aperini Spritz, 6.9%, 0.75 л, Россия;7.79;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/7440/01367440/norm/thumbs/01367440.n_1_1000x1000.png.jpg?1684560606;АО «Евразийская алкогольная группа» 140103, Московская обл., г. Раменское, шоссе Донинское, 4-й километр, Россия.
Винный напиток игристый «Santo Stefano» белый полусладкий 6.9%, 0.75 л, Россия;7.79;1;12;https://img.unistore.by/UserFiles/images/catalog/Goods/2654/01312654/norm/thumbs/01312654.n_1_1000x1000.png.jpg?1684560606;ЗАО «НПО Агросервис» 140103, Московская область, г. Раменское, шоссе Денинское, 4-ый километр, Россия.
Винный напиток игристый «Santo Stefano» красный полусладкий, 6.9%, 0.75 л, Россия;7.79;1;12;https://img.unistore.by/UserFiles/images/catalog/Goods/2652/01312652/norm/thumbs/01312652.n_1_1000x1000.png.jpg?1684560606;АО «Евразийская алкогольная группа» 140103, Московская обл., г. Раменское, шоссе Донинское, 4-й километр, Россия.
Винный напиток игристый «Santo Stefano» розовый, 6.9%, 0.75 л, Россия;7.79;1;12;https://img.unistore.by/UserFiles/images/catalog/Goods/2655/01312655/norm/thumbs/01312655.n_1_1000x1000.png.jpg?1684182607;АО «Евразийская алкогольная группа» 140103, Московская обл., г. Раменское, шоссе Донинское, 4-й километр, Россия.
Вино «Santo Stefano» Vacanze Romane, белое, 6.9%, 0.75 л, Россия;7.79;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/2656/01312656/norm/thumbs/01312656.n_1_1000x1000.png.jpg?1684560606;АО «Евразийская алкогольная группа» 140103, Московская обл., г. Раменское, шоссе Донинское, 4-й километр, Россия.
Нап.игр.«ITALIANA»(сл/а,п/сл,6.5%)0.75л;8.26;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/0032/01590032/norm/thumbs/01590032.n_1_1000x1000.png.jpg?1684560606;ITALIANA
Нап.игр.«ITALIANA»(сл/а,п/сух,6.5%)0.75л;8.5;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/0033/01590033/norm/thumbs/01590033.n_1_1000x1000.png.jpg?1684355407;ITALIANA
Напиток«LAMBRUSCO ROSSO»(сл/а,6.5)0.75л;9.9;3;6;https://img.unistore.by/UserFiles/images/catalog/Goods/9716/01599716/norm/thumbs/01599716.n_1_1000x1000.png.jpg?1684528206;Импорт
Напиток«LAMBRUSCO BIANCO»(сл/а,6.5)0.75л;10.15;3;6;https://img.unistore.by/UserFiles/images/catalog/Goods/9714/01599714/norm/thumbs/01599714.n_1_1000x1000.png.jpg?1684528206;Импорт
Спички обыкновенные «Camping» 36 шт;0.06;10;1000;https://img.unistore.by/UserFiles/images/catalog/Goods/6962/00746962/norm/thumbs/00746962.n_1_1000x1000.png.jpg?1684560606;ОАО «Борисовдрев» улица 30 лет ВЛКСМ 18, Борисов, Беларусь.
Зажигалка «Moonking» пьезо, черная с золотом, 1 шт.;1.06;5;50;https://img.unistore.by/UserFiles/images/catalog/Goods/6504/01006504/norm/thumbs/01006504.n_1_1000x1000.png.jpg?1684096209;Зажигалка пьезо с электронным механизмом зажигания,соответствуют требованиям международных стандартов качества, современный дизайн.
Зажигалка«SOLEBO»(пьезо прозрачная);2.35;5;50;https://img.unistore.by/UserFiles/images/catalog/Goods/8808/01678808/norm/thumbs/01678808.n_1_1000x1000.png.jpg?1684096209;Импорт
Зажигалка«SOLEBO»(пьезо с резин.покрыт);2.89;5;50;https://img.unistore.by/UserFiles/images/catalog/Goods/8765/01678765/norm/thumbs/01678765.n_1_1000x1000.png.jpg?1684182607;Импорт
Водка «Дикая Охота» Ultra, 38%, 0.5 л, Беларусь;8.48;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/1026/01251026/norm/thumbs/01251026.n_1_1000x1000.png.jpg?1684441806;Брестский алкоголь
Водка «Дикая Охота» Special, 40%, 0.5 л, Беларусь;9.29;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/4802/01254802/norm/thumbs/01254802.n_1_1000x1000.png.jpg?1684528206;Спиртоводочный завод «Брестский алкоголь» КУП «Маньковичи» 222530, Брестская обл., г. Столин, ул. Терешковой, 2, Республика Беларусь.
Водка «Дикая Охота» Ultra, 38%, 0.5 л, Беларусь;8.48;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/1026/01251026/norm/thumbs/01251026.n_1_1000x1000.png.jpg?1684441806;Брестский алкоголь
Водка «Дикая Охота» Special, 40%, 0.5 л, Беларусь;9.29;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/4802/01254802/norm/thumbs/01254802.n_1_1000x1000.png.jpg?1684528206;Спиртоводочный завод «Брестский алкоголь» КУП «Маньковичи» 222530, Брестская обл., г. Столин, ул. Терешковой, 2, Республика Беларусь.
Пиво «Brauberg Original» 4.3%, 0.45 л, Беларусь;1.49;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/1675/01141675/norm/thumbs/01141675.n_1_1000x1000.png.jpg?1684560606;Импорт
Пиво«GILDI ORIGINAAL»(св,ж/б,4.8%)0.568л;1.99;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/9670/01639670/norm/thumbs/01639670.n_1_1000x1000.png.jpg?1684560606;Импорт
Пиво«NOAD.BEER WEIZEN»(пшен,н/ф,ж/б)0.5л;2.02;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/3453/01583453/norm/thumbs/01583453.n_1_1000x1000.png.jpg?1684441806;Импорт
Пиво «Livu Sencu» светлое, 5%, 0.5 л, Латвия;2.03;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/6869/01126869/norm/thumbs/01126869.n_1_1000x1000.png.jpg?1684096209;УАБ »Калнарои-Тауро груп» 35147 Пеневезус, Тайкос ал. 1, Литва.
Пиво «Ноад Бир Лагер» светлое, 4.1%, 0.5 л, Германия;2.24;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/7525/01417525/norm/thumbs/01417525.n_1_1000x1000.png.jpg?1684560606;Импорт
Пиво «GILDI PILSNE» (св,ж/б,4.5%)0.568л;2.29;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/9668/01639668/norm/thumbs/01639668.n_1_1000x1000.png.jpg?1684560606;Импорт
Пивной напиток «Kronenbourg» 1664 Blanc, 4.5%, 0.45 л, Россия;2.35;1;24;https://img.unistore.by/UserFiles/images/catalog/Goods/5082/01065082/norm/thumbs/01065082.n_1_1000x1000.png.jpg?1684560606;БАЛТИКА
Пиво«HOP RIDER ALE»(светл.,неф,ж/б)0.33л;2.39;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/2080/01572080/norm/thumbs/01572080.n_1_1000x1000.png.jpg?1684560606;Импорт
Пиво «Hop Rider» Ipa, светлое нефильтрованное, 4.9%, 0.33 л, Германия;2.45;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/9150/01409150/norm/thumbs/01409150.n_1_1000x1000.png.jpg?1684355407;Приватбрауереи Еикхбаум ГмбХ и Ко. КГ, Каеферталер Штрассе 17068167 Маннхеим, Германия.
Пиво «Feldschlosschen Reser» светлое, 5.3%, 0.5 л, Германия;2.69;3;18;https://img.unistore.by/UserFiles/images/catalog/Goods/8964/01408964/norm/thumbs/01408964.n_1_1000x1000.png.jpg?1684560606;ж/банка
Пиво«GILDE BLACK BEER»(тем,ж/б,5.0%)0.5л;2.69;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/3836/01733836/norm/thumbs/01733836.n_1_1000x1000.png.jpg?1684269006;Импорт
Пиво«GILDE PILSENER»(свет.,ж/б,5.0%)0.5л;2.69;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/3835/01733835/norm/thumbs/01733835.n_1_1000x1000.png.jpg?1684560606;Импорт
Напиток пив«BARCOCTAIL»(джин-тоник)0.45л;2.8;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/1274/01461274/norm/thumbs/01461274.n_1_1000x1000.png.jpg?1684560606;Импорт
Пиво«STAROCESKE TRADICNI»(св,ф,ж/б)0.5л;2.8;2;24;https://img.unistore.by/UserFiles/images/catalog/Goods/6524/01726524/norm/thumbs/01726524.n_1_1000x1000.png.jpg?1684528206;Импорт
Пиво «Либенброй Хель» светлое, 5.1%, 0.5 л, Германия;3.08;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/8690/01428690/norm/thumbs/01428690.n_1_1000x1000.png.jpg?1684355407;Импорт
Пиво «Bakalar Dry Hopped» светлое, 5.2%, 0.5 л, Чехия;3.16;1;24;https://img.unistore.by/UserFiles/images/catalog/Goods/8684/01428684/norm/thumbs/01428684.n_1_1000x1000.png.jpg?1684355407;ж/банка
Пиво «STELLA ARTOIS» (св,ж/б,5%) 0.5л;3.49;2;24;https://img.unistore.by/UserFiles/images/catalog/Goods/6675/01536675/norm/thumbs/01536675.n_1_1000x1000.png.jpg?1684560606;Импорт
Пиво «Речицкое Золотистое» светлое, 4.7%, 0.45 л, Беларусь;1.6400000000000001;6;20;https://img.unistore.by/UserFiles/images/catalog/Goods/3834/01223834/norm/thumbs/01223834.n_1_1000x1000.png.jpg?1684560606;БОБРУЙСКИЙ БРОВАР
