Наименование товара;Цена розничная;Минимальная партия, шт;Количество в упаковке;Изображение;Производитель
Чайный напиток «Doctor Green» ромашка с мелиссой, 20x1 г;0.96;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/0831/00830831/norm/thumbs/00830831.n_1_1000x1000.png.jpg?1684564205;Без ароматизаторов, без красителей. 20 фильтр-пакетиков по 1.0 г.
Чайный напиток «Doctor Green» ромашка, 20х1 г;0.98;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/0828/00830828/norm/thumbs/00830828.n_1_1000x1000.png.jpg?1684564205;цветки ромашки.
Чайный напиток «Doctor Green» чабрец, 20х1 г;0.98;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/0827/00830827/norm/thumbs/00830827.n_1_1000x1000.png.jpg?1684564205;чабрец.
Напиток чайный «Doctor Green» мята, 20 пакетиков.;1.04;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/0829/00830829/norm/thumbs/00830829.n_1_1000x1000.png.jpg?1684564205;В упаковке 20 фильтр пакетиков по 1 г.
Напиток чайный «Doctor Green» ромашка с шалфеем, 20 г.;1.04;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/0830/00830830/norm/thumbs/00830830.n_1_1000x1000.png.jpg?1684441806;цветки ромашки, листья шалфея.
Чайный напиток «Doctor Green» ромашка с мятой, 20 г;1.04;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/0832/00830832/norm/thumbs/00830832.n_1_1000x1000.png.jpg?1684564205;Без ароматизаторов, без красителей. 20 фильтр-пакетиков по 1.0 г.
Чай чёрный байховый «Jambo» 20х1.2 г.;1.08;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/9857/00769857/norm/thumbs/00769857.n_1_1000x1000.png.jpg?1684096209;купаж чёрного байхового мелколистового чая.
Чай черный «Царская чаша» байховый, 30 пакетиков.;1.15;3;36;https://img.unistore.by/UserFiles/images/catalog/Goods/5818/00975818/norm/thumbs/00975818.n_1_1000x1000.png.jpg?1684564205;"ООО ""Санти"", 141420, Московская обл., г.о. Химки, микрорайон Сходня, ул. Железнодорожная, д. 8, Россия."
Чай зеленый «Принцесса Ява» 25 пакетиков.;1.56;3;18;https://img.unistore.by/UserFiles/images/catalog/Goods/4937/00074937/norm/thumbs/00074937.n_1_1000x1000.png.jpg?1684528206;"ООО ""Ориент Продактс"", Ленинградская область, Всеволожский р-н, г. Сертолова, микрарайон Сертолово-1, пер. лесной д.2, Россия."
Чай черный «Золотая чаша» лесные ягоды, 20 пакетиков.;1.6;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/6509/00036509/norm/thumbs/00036509.n_1_1000x1000.png.jpg?1684096208;"чай черный байховый высшего сорта, ароматизатор ""Лесная ягода""."
Чай чёрный «Принцесса Нури» отборный, 25 пакетиков.;1.79;3;18;https://img.unistore.by/UserFiles/images/catalog/Goods/6127/00026127/norm/thumbs/00026127.n_1_1000x1000.png.jpg?1684355406;"ООО ""НЕП"" 188682, Ленинградская область, Всеволожский р-н, пос. им. Свердлова, мкп.1, 15/4, Россия."
Чай «МАЙСКИЙ» (корона рос.импер.25пак.);1.9;3;27;https://img.unistore.by/UserFiles/images/catalog/Goods/6836/00176836/norm/thumbs/00176836.n_1_1000x1000.png.jpg?1684355406;Новый
Чай «Принцесса Нури» лимон 37.5 г (25х1.5 г);1.99;3;18;https://img.unistore.by/UserFiles/images/catalog/Goods/3397/00063397/norm/thumbs/00063397.n_1_1000x1000.png.jpg?1684355406;"ООО ""Ориент Продактс"", Ленинградская область, Всеволожский р-н, г. Сертолова, микрарайон Сертолово-1, пер. лесной д.2, Россия."
Чай черный «Akbar» 25 пакетиков.;2.08;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/6988/00576988/norm/thumbs/00576988.n_1_1000x1000.png.jpg?1684355406;ООО «Яковлевская чаеразвесочная фабрика», 142152, РФ, Московская обл, Подольский район, д.Яковлево, ул. Шоссейная, д.1.
Чай «AKBAR» (черн малин/черн/верб)25пак;2.15;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/2913/01432913/norm/thumbs/01432913.n_1_1000x1000.png.jpg?1684355407;Новый
Чай «AKBAR»(черн яблок/шипов/шалф)25пак;2.15;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/1210/01791210/norm/thumbs/01791210.n_1_1000x1000.png.jpg?1684355407;Новый
Чай «Принцесса Нури» высокогорный, 100 г.;2.2;2;16;https://img.unistore.by/UserFiles/images/catalog/Goods/6012/00026012/norm/thumbs/00026012.n_1_1000x1000.png.jpg?1684441805;"ООО ""НЕП"" 188682, Ленинградская область, Всеволожский р-н, пос. им. Свердлова, мкп.1, 15/4, Россия."
Чай чёрный «Beckerfield» с ароматом бергамота, 100 г.;2.22;2;24;https://img.unistore.by/UserFiles/images/catalog/Goods/9433/00869433/norm/thumbs/00869433.n_1_1000x1000.png.jpg?1684355407;Обладает всеми достоинствами высокогорного чая элитных сортов.
Чай «LIPTON» (черн., лист.) 90г;2.48;7;14;https://img.unistore.by/UserFiles/images/catalog/Goods/2190/01442190/norm/thumbs/01442190.n_1_1000x1000.png.jpg?1684355407;Новый
Чай «AKBAR» (Gold, 25пак, с ярл)50г;2.66;3;6;https://img.unistore.by/UserFiles/images/catalog/Goods/1129/01661129/norm/thumbs/01661129.n_1_1000x1000.png.jpg?1684564205;Новый
Чай чёрный «Beckerfield» крупнолистовой, 100 г.;2.7199999999999998;2;24;https://img.unistore.by/UserFiles/images/catalog/Goods/4400/00534400/norm/thumbs/00534400.n_1_1000x1000.png.jpg?1684564205;купаж крупнолистового чая стандартов ОРА (ОР).
Чай чёрный «Lipton» тропические фрукты, 20 пакетиков.;2.75;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/1811/00101811/norm/thumbs/00101811.n_1_1000x1000.png.jpg?1684355406;"ООО ""Юнилевер Русь"", 123022, г. Москва, ул. Сергея Макеева, 13, Россия."
Чай «Riston» зеленый, 25 пакетиков, 50 г.;2.86;3;10;https://img.unistore.by/UserFiles/images/catalog/Goods/1528/00041528/norm/thumbs/00041528.n_1_1000x1000.png.jpg?1684096208;Байховый китайский мелкий в пакетиках для разовой заварки. Зеленый чай высшей категории с насыщенным терпким вкусом и изысканным ароматом. Мягкий золотистый настой напитка помогает расслабиться и почувствовать отдохновение после длинного насыщенного дня. Высший сорт.
Чай зеленый «Curtis» Fresh Green, 42.5 г;2.88;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/9418/01159418/norm/thumbs/01159418.n_1_1000x1000.png.jpg?1684355407;"ООО ""Май"", 141191, Московская обл., г. Фрязино, ул. Озерная, д. 1А, Россия."
Чай зелёный «Beckerfield» крупнолистовой, 100 г.;2.89;2;24;https://img.unistore.by/UserFiles/images/catalog/Goods/4401/00534401/norm/thumbs/00534401.n_1_1000x1000.png.jpg?1684441806;купаж крупнолистового зеленого чая стандарта ОРА(ОР).
Чай черный «Curtis» Elegant Earl Grey, 42.5 г;2.99;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/9417/01159417/norm/thumbs/01159417.n_1_1000x1000.png.jpg?1684355407;"ООО ""Май"", 141191, Московская обл., г. Фрязино, ул. Озерная, д. 1А, Россия."
Чай зеленый «Greenfield» Green Melissa, 25 пакетиков.;3.19;3;10;https://img.unistore.by/UserFiles/images/catalog/Goods/5535/00085535/norm/thumbs/00085535.n_1_1000x1000.png.jpg?1684355406;Китайский байховый с мелиссой, ароматом мяты и лимона в пакетиках для разовой заварки.
Чай чёрный «Greenfield» Golden Ceylon, 25 шт.;3.19;3;10;https://img.unistore.by/UserFiles/images/catalog/Goods/7357/00087357/norm/thumbs/00087357.n_1_1000x1000.png.jpg?1684441806;"ООО ""НЕП"" 188682, Ленинградская область, Всеволожский р-н, пос. им. Свердлова, мкп.1, 15/4, Россия."
Чай черный «Curtis» ягодный блюз, 20 пакетиков.;3.23;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/1040/00771040/norm/thumbs/00771040.n_1_1000x1000.png.jpg?1684564205;Черный ароматизированный листовой чай с черникой, с черной смородиной, еживикой и лепестками цветов василька в пирамидках. Вес 36 г.
Чай черный «Lipton» 25 пакетиков.;3.25;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/6020/00026020/norm/thumbs/00026020.n_1_1000x1000.png.jpg?1684528206;чай чёрный байховый.
Чай чёрный «Сurtis» виноград, 20 пакетиков.;3.25;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/9904/00389904/norm/thumbs/00389904.n_1_1000x1000.png.jpg?1684096208;Листовой байховый с лепестками цветов, кусочками и ароматом винограда в пирамидках.
Чай чёрный «Lipton» клубника и мята 20 пакетиков.;3.29;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/5236/00485236/norm/thumbs/00485236.n_1_1000x1000.png.jpg?1684096208;чай черный байховый, ароматизатор клубники и мяты идентичный натуральному, листья мяты перечной, кусочки клубники.
Чай чёрный «Lipton» голубые ягоды, 20 пакетиков.;3.3;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/6645/00186645/norm/thumbs/00186645.n_1_1000x1000.png.jpg?1684096208;чай чёрный баховый, ароматизатор лесных ягод идентичный натуральному, кусочки ягод (черника, чёрная смородина, ежевика, малина).
Чай чёрный «Lipton» лесные ягоды, 20 пакетиков.;3.3;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/6646/00186646/norm/thumbs/00186646.n_1_1000x1000.png.jpg?1684096208;0.5 г
Чай черный «Curtis» Delicate Black, 42.5 г;3.34;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/9416/01159416/norm/thumbs/01159416.n_1_1000x1000.png.jpg?1684355407;"ООО ""Май"", 141191, Московская обл., г. Фрязино, ул. Озерная, д. 1А, Россия."
Кофе растворимый «Indian Aroma» еxclusive 75 г.;3.4;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/9452/00529452/norm/thumbs/00529452.n_1_1000x1000.png.jpg?1684564205;Тата Коффее ЛТД,57,Бригаде Пойнт,Рэйлвэй Параллел Роуд,Кумара Парк Вест,Бенгалуру,Карнатака,Индия.
Чай черный «Tess» байховый, 100 г;3.54;2;15;https://img.unistore.by/UserFiles/images/catalog/Goods/7758/00037758/norm/thumbs/00037758.n_1_1000x1000.png.jpg?1684096208;Чай чёрный байховый цейлонский, крупнолистовой.
Чай черный «Царская чаша» байховый, 100 пакетиков.;4.24;4;8;https://img.unistore.by/UserFiles/images/catalog/Goods/5222/00975222/norm/thumbs/00975222.n_1_1000x1000.png.jpg?1684564205;ООО «Санти», 141420, Московская обл., г.о. Химки, микрор-н Сходня, ул. Железнодорожная, д. 8, Россия.
Чай чёрный «Принцесса Нури» высокогорный, 100 шт.;4.39;2;15;https://img.unistore.by/UserFiles/images/catalog/Goods/6125/00026125/norm/thumbs/00026125.n_1_1000x1000.png.jpg?1684441805;"ООО ""НЕП"" 188682, Ленинградская область, Всеволожский р-н, пос. им. Свердлова, мкп.1, 15/4, Россия."
Чай«LIPTON YELL.LABEL TEA»(чер,лист)180г;4.45;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/6666/01466666/norm/thumbs/01466666.n_1_1000x1000.png.jpg?1684355407;Новый
Чай зеленый «Dilmah» листовой, 100 г.;5.15;2;12;https://img.unistore.by/UserFiles/images/catalog/Goods/3484/00013484/norm/thumbs/00013484.n_1_1000x1000.png.jpg?1684096208;чай зеленый.
Чай черный «Лисма» крепкий 100 пакетиков.;5.39;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/8505/00088505/norm/thumbs/00088505.n_1_1000x1000.png.jpg?1684564205;"ООО ""Май"", 141190, г. Фрязино, Московской обл., ул. Озёрная, д.1а, Россия."
Чай черн. «AKBAR»(Ceylon/к/л)100г;5.88;3;8;https://img.unistore.by/UserFiles/images/catalog/Goods/2918/01432918/norm/thumbs/01432918.n_1_1000x1000.png.jpg?1684355407;Новый
Чай черный «Beckerfield» 100 пакетиков.;5.99;2;16;https://img.unistore.by/UserFiles/images/catalog/Goods/4402/00534402/norm/thumbs/00534402.n_1_1000x1000.png.jpg?1684096208;купаж мелколистового чёрного чая стандартов FNGS, PD.
Кофе растворимый «Indian Aroma» еxclusive 150 г.;6.41;3;18;https://img.unistore.by/UserFiles/images/catalog/Goods/5575/00445575/norm/thumbs/00445575.n_1_1000x1000.png.jpg?1684355406;Тата Коффее ЛТД,57,Бригаде Пойнт,Рэйлвэй Параллел Роуд,Кумара Парк Вест,Бенгалуру,Карнатака,Индия.
Кофе растворимый «Jardin Gold» 95 г;6.88;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/6184/01006184/norm/thumbs/01006184.n_1_1000x1000.png.jpg?1684355407;"ООО ""Орими КФ"", 188682, Ленинградская обл., Всеволожский р-н, г.п. Свердловское, п/р Центральное отделение, д. 52, к. 3, Россия."
Чай черный «Майский» отборный, 100 пакетиков.;6.98;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/4120/00084120/norm/thumbs/00084120.n_1_1000x1000.png.jpg?1684355406;"ООО ""Май"" , Россия., г. Фрязино, Московская обл., ул. Озерная, д. 1а."
Кофе«FRESCO»(Arab.blend,раств.,ст/б)100г;7.3;2;9;https://img.unistore.by/UserFiles/images/catalog/Goods/6876/01276876/norm/thumbs/01276876.n_1_1000x1000.png.jpg?1684355407;Новый
Кофе«FRESCO»(Doppio,раст.с мол,ст/б)100г;7.3;3;6;https://img.unistore.by/UserFiles/images/catalog/Goods/1184/01531184/norm/thumbs/01531184.n_1_1000x1000.png.jpg?1684355407;Новый
Кофе «MILAGRO»(нат субл ср/обж)95г;7.4;3;8;https://img.unistore.by/UserFiles/images/catalog/Goods/1211/01791211/norm/thumbs/01791211.n_1_1000x1000.png.jpg?1684564205;Новый
Чай черный «AKBAR» (с/я, 100 пак)200г;7.76;3;6;https://img.unistore.by/UserFiles/images/catalog/Goods/2921/01432921/norm/thumbs/01432921.n_1_1000x1000.png.jpg?1684355407;Новый
Чай «Akbar» черный, 100 пакетиков по 2 г, 200 г.;8.24;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/5491/00695491/norm/thumbs/00695491.n_1_1000x1000.png.jpg?1684564205;"ООО ""Яковлевская чаевзвесочная фабрика"", 142152, Московская обл., Подольский р-н, д. Яковлево, ул. Шоссейная, д. 1, Россия."
Чай черный «Lipton» 100 пакетиков.;8.58;2;12;https://img.unistore.by/UserFiles/images/catalog/Goods/6021/00026021/norm/thumbs/00026021.n_1_1000x1000.png.jpg?1684564205;чай чёрный байховый.
Чай черный «Lipton» earl grey, 100 пакетиков х 2 г, 200 г.;8.69;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/1984/00511984/norm/thumbs/00511984.n_1_1000x1000.png.jpg?1684564205;0.1 г
Кофе растворимый «Jacobs» Monarch 95 г;8.99;2;12;https://img.unistore.by/UserFiles/images/catalog/Goods/3060/00443060/norm/thumbs/00443060.n_1_1000x1000.png.jpg?1684096208;14.6 г
Кофе растворимый «Nescafe» Gold, с добавлением молотого, 95 г;9.29;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/0809/00760809/norm/thumbs/00760809.n_1_1000x1000.png.jpg?1684564205;"ООО ""Нестле Кубань"" 352700, Краснодарский край, г.Тимашевск, ул.Гибридная, д.2а, Россия."
Кофе растворимый «Tchibo» Gold Selection сублимированный, 150 г.;11.62;2;12;https://img.unistore.by/UserFiles/images/catalog/Goods/8330/00628330/norm/thumbs/00628330.n_1_1000x1000.png.jpg?1684096208;16 г
Чайная коллекция «Tess» 12 вкусов, 60 пакетиков.;13.48;2;12;https://img.unistore.by/UserFiles/images/catalog/Goods/8746/00868746/norm/thumbs/00868746.n_1_1000x1000.png.jpg?1684564205;ООО «Орими», 193079, г. Санкт-Петербург, пр-т Большевиков, д. 64, к. 2, Россия.
Кофе растворимый «Nescafe Gold» с добавлением молотого, 190 г;13.79;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/0831/00760831/norm/thumbs/00760831.n_1_1000x1000.png.jpg?1684355407;"ООО ""Нестле Кубань"" 352700, Краснодарский край, г.Тимашевск, ул.Гибридная, д.2а, Россия."
Напиток кофейный «Cafe Primero» крепкий 3 в 1, 16 г.;0.16;10;350;https://img.unistore.by/UserFiles/images/catalog/Goods/1607/00771607/norm/thumbs/00771607.n_1_1000x1000.png.jpg?1684096209;2 г
Напиток кофейный «Cafe Primero» 3в1, 16 г.;0.17;10;350;https://img.unistore.by/UserFiles/images/catalog/Goods/1612/00771612/norm/thumbs/00771612.n_1_1000x1000.png.jpg?1684096209;2 г
Напиток кофейный «Cafe Primero» мягкий, 16 г.;0.22;10;350;https://img.unistore.by/UserFiles/images/catalog/Goods/1609/00771609/norm/thumbs/00771609.n_1_1000x1000.png.jpg?1684355407;"ООО ""Фаворит"", 188662, Всеволожский р-н, пос. Мурино, ул. Лесная, д. 3-А, Россия."
Кофе растворимый «Nescafe» Gold, с добавлением молотого, 2 г;0.38;10;30;https://img.unistore.by/UserFiles/images/catalog/Goods/4256/00824256/norm/thumbs/00824256.n_1_1000x1000.png.jpg?1684355407;"ООО ""Нестле Кубань"" 352700, Краснодарский край, г.Тимашевск, ул.Гибридная, д.2а, Россия."
Кофейный напиток растворимый «Nesсafe» 3 в 1 классический, 14.5 г;0.49;10;20;https://img.unistore.by/UserFiles/images/catalog/Goods/8825/00978825/norm/thumbs/00978825.n_1_1000x1000.png.jpg?1684096209;0.21 г
Кофейный напиток растворимый «Nesсafe» 3 в 1 крепкий, 14.5 г;0.49;10;20;https://img.unistore.by/UserFiles/images/catalog/Goods/8824/00978824/norm/thumbs/00978824.n_1_1000x1000.png.jpg?1684096209;0.28 г
Кофейный напиток растворимый «Nesсafe» 3 в 1 мягкий, 14.5 г;0.49;10;20;https://img.unistore.by/UserFiles/images/catalog/Goods/8826/00978826/norm/thumbs/00978826.n_1_1000x1000.png.jpg?1684182607;0.16 г
Напиток кофейный «МАКСВЕЛ ХАУЗ»(3в1)14г;0.49;10;12;https://img.unistore.by/UserFiles/images/catalog/Goods/0153/01460153/norm/thumbs/01460153.n_1_1000x1000.png.jpg?1684355407;Новый
Напиток кофейный растворимый «Jacobs Monarch» 3 в 1, 15 г.;0.7;10;24;https://img.unistore.by/UserFiles/images/catalog/Goods/8716/00748716/norm/thumbs/00748716.n_1_1000x1000.png.jpg?1684528206;2.4 г
Кофейный напиток «Nescafe» латте, 18 г;0.85;10;18;https://img.unistore.by/UserFiles/images/catalog/Goods/9058/00959058/norm/thumbs/00959058.n_1_1000x1000.png.jpg?1684096209;1.4 г
Какао-порошок «Стандарт 1969» 150 г;1.88;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/4403/00534403/norm/thumbs/00534403.n_1_1000x1000.png.jpg?1684441806;28.1 г
Какао «Rikki» растворимый, 300 г;1.96;3;14;https://img.unistore.by/UserFiles/images/catalog/Goods/8251/00518251/norm/thumbs/00518251.n_1_1000x1000.png.jpg?1684096208;6 г
Кофе жареный молотый «Barista mio» эспрессо, 75 г.;2.15;3;32;https://img.unistore.by/UserFiles/images/catalog/Goods/0906/00750906/norm/thumbs/00750906.n_1_1000x1000.png.jpg?1684096209;Среднемолотый. Темнообжаренный.
Кофе натуральный «Barista Mio» жареный молотый 75 г.;2.15;3;32;https://img.unistore.by/UserFiles/images/catalog/Goods/9713/00609713/norm/thumbs/00609713.n_1_1000x1000.png.jpg?1684096208;Среднемолотый. Среднеобжаренный.
Какао-порошок «Коммунарка» 99.98 %, 150 г;2.5;3;40;https://img.unistore.by/UserFiles/images/catalog/Goods/1708/00201708/norm/thumbs/00201708.n_1_1000x1000.png.jpg?1684564205;25 г
Кофе «Жокей» традиционный, 100 г.;2.89;3;18;https://img.unistore.by/UserFiles/images/catalog/Goods/1264/00041264/norm/thumbs/00041264.n_1_1000x1000.png.jpg?1684564205;"ООО ""НЕП"" 188682, Ленинградская область, Всеволожский р-н, пос. им. Свердлова, мкп.1, 15/4, Россия."
Кофе молотый «Жокей» по-восточному, 100 г;3.79;3;18;https://img.unistore.by/UserFiles/images/catalog/Goods/8033/00008033/norm/thumbs/00008033.n_1_1000x1000.png.jpg?1684528206;"ООО ""НЕП"" 188682, Ленинградская область, Всеволожский р-н, пос. им. Свердлова, мкп.1, 15/4, Россия."
Кофе молотый «Barista Mio» эспрессо, 250 г.;4.49;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/5077/00495077/norm/thumbs/00495077.n_1_1000x1000.png.jpg?1684096208;арабика придаст сладость и цитрусовый аромат, робуста - горчинку и плотность.
Кофе«BIANCAFFE INTENSO»(молотый)250г;4.85;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/5997/01425997/norm/thumbs/01425997.n_1_1000x1000.png.jpg?1684528206;Новый
Кофе натуральный молотый «Barista Mio» Вкус года, 250 г.;5.86;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/1637/00781637/norm/thumbs/00781637.n_1_1000x1000.png.jpg?1684355407;ООО «АВД продакшен», 223044, Минская обл., Минский р-н, Папернянский с/с, аг. Вишневка, ул. Восточная, 6, Республика Беларусь.
Кофе «Жокей» по-восточному, 250 г;7.49;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/8047/00008047/norm/thumbs/00008047.n_1_1000x1000.png.jpg?1684564205;"ООО ""НЕП"" 188682, Ленинградская область, Всеволожский р-н, пос. им. Свердлова, мкп.1, 15/4, Россия."
Кофе нат.жареный «STANDARD» (мол) 500г;8.28;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/2046/01572046/norm/thumbs/01572046.n_1_1000x1000.png.jpg?1684564205;Новый
Кофе молотый «Жокей» традиционный, 250 г;8.5;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/1575/00041575/norm/thumbs/00041575.n_1_1000x1000.png.jpg?1684355406;"ООО ""НЕП"" 188682, Ленинградская область, Всеволожский р-н, пос. им. Свердлова, мкп.1, 15/4, Россия."
Кофе молотый «Cafe» Mokka 500 г.;8.89;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/9518/00249518/norm/thumbs/00249518.n_1_1000x1000.png.jpg?1684564205;Rostfein Kaffe Gmbh, Hafenstrasse 9,39106 Magdeburg, Германия
Кофе молотый «Moссa Fix» Gold 500 г.;9.4;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/0404/00280404/norm/thumbs/00280404.n_1_1000x1000.png.jpg?1684528206;Ростфеин Каффе Гмбх, Хафенстрассе 9, 39106 Магдебург, Германия.
Кофе молотый «Lavazza» сrema e gusto, 250 г;9.76;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/4933/00264933/norm/thumbs/00264933.n_1_1000x1000.png.jpg?1684564205;Натуральный жареный, молотый, темнообжаренный.
Кофе «Movenpick» Der Himmlische, 250 г.;9.77;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/4842/00324842/norm/thumbs/00324842.n_1_1000x1000.png.jpg?1684096208;Натуральный молотый среднеобжаренный. Упаковано под вакуумом.
Кофе молотый «Жокей» по-восточному, 450 г;11.95;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/8995/00578995/norm/thumbs/00578995.n_1_1000x1000.png.jpg?1684096208;Натуральный жареный, молотый.
Кофе молотый «Lavazza» qualita oro, 250 г;12.58;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/7764/00087764/norm/thumbs/00087764.n_1_1000x1000.png.jpg?1684355406;Луиги Лавацца С.п.А., Ц. СО Новара 59, 101154 Торино, Италия.
Кофе «LAVAZZA» (cafe espresso, мол) 250г;13.2;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/8415/00088415/norm/thumbs/00088415.n_1_1000x1000.png.jpg?1684355406;Импорт
Кофе«LAVAZZA»(espr. perfetto, мол) 250г;13.26;3;20;https://img.unistore.by/UserFiles/images/catalog/Goods/5478/01685478/norm/thumbs/01685478.n_1_1000x1000.png.jpg?1684355407;Импорт
Кофе молотый «Lavazza» Qualita Oro, 250 г;14.88;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/1735/00001735/norm/thumbs/00001735.n_1_1000x1000.png.jpg?1684564205;Луиги Лавазза С.п.А. Ц.Со. Новара, 59-10154 Торино, Италия.
Кофе «JACOBS KRONUNG» (мол) 500г;16.3;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/4359/01514359/norm/thumbs/01514359.n_1_1000x1000.png.jpg?1684528206;Импорт
Кофе«BIANCAFFE INTENSO»(зерно) 1кг;18.43;2;10;https://img.unistore.by/UserFiles/images/catalog/Goods/6000/01426000/norm/thumbs/01426000.n_1_1000x1000.png.jpg?1684355407;Новый
Кофе в зернах «Lavazza» еspresso, 500 г.;24.49;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/0364/00460364/norm/thumbs/00460364.n_1_1000x1000.png.jpg?1684355406;Луиги Лавазза С.п.А. Ц.Со. Новара, 59-10154 Торино, Италия.
Кофе«LAVAZZA»(espr. intenso, зерно) 500г;24.95;2;12;https://img.unistore.by/UserFiles/images/catalog/Goods/5479/01685479/norm/thumbs/01685479.n_1_1000x1000.png.jpg?1684355407;Импорт
Кофе в зернах «Barista Pro Bar» 1000 г;30.1;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/7533/00517533/norm/thumbs/00517533.n_1_1000x1000.png.jpg?1684096208;Темнообжаренный. Специально для кофемашин.
Кофе «Pellini» Espresso Bar в зернах 1 кг;37.97;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/5311/00475311/norm/thumbs/00475311.n_1_1000x1000.png.jpg?1684182607;218 ккл/ 912 кДж
Кофе натуральный в зерне «Lavazza» qualita rossa, 1 кг.;43.0;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/3929/00333929/norm/thumbs/00333929.n_1_1000x1000.png.jpg?1684528206;Луиги Лавазза С.п.А. Ц.Со. Новара, 59-10154 Торино, Италия.
Кофе «LAVAZZA» (super crema,зерно) 1кг;52.68;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/2723/01512723/norm/thumbs/01512723.n_1_1000x1000.png.jpg?1684564205;Импорт
Кофе«LAVAZZA» (crema e aroma,зерно) 1кг;58.85;1;6;https://img.unistore.by/UserFiles/images/catalog/Goods/6312/00656312/norm/thumbs/00656312.n_1_1000x1000.png.jpg?1684355406;Импорт
Кофе растворимый «Indian Aroma» еxclusive 75 г.;3.4;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/9452/00529452/norm/thumbs/00529452.n_1_1000x1000.png.jpg?1684564205;Тата Коффее ЛТД,57,Бригаде Пойнт,Рэйлвэй Параллел Роуд,Кумара Парк Вест,Бенгалуру,Карнатака,Индия.
Кофе растворимый «Indian Aroma» еxclusive 150 г.;6.41;3;18;https://img.unistore.by/UserFiles/images/catalog/Goods/5575/00445575/norm/thumbs/00445575.n_1_1000x1000.png.jpg?1684355406;Тата Коффее ЛТД,57,Бригаде Пойнт,Рэйлвэй Параллел Роуд,Кумара Парк Вест,Бенгалуру,Карнатака,Индия.
Кофе растворимый «Jardin Gold» 95 г;6.88;3;12;https://img.unistore.by/UserFiles/images/catalog/Goods/6184/01006184/norm/thumbs/01006184.n_1_1000x1000.png.jpg?1684355407;"ООО ""Орими КФ"", 188682, Ленинградская обл., Всеволожский р-н, г.п. Свердловское, п/р Центральное отделение, д. 52, к. 3, Россия."
Кофе«FRESCO»(Arab.blend,раств.,ст/б)100г;7.3;2;9;https://img.unistore.by/UserFiles/images/catalog/Goods/6876/01276876/norm/thumbs/01276876.n_1_1000x1000.png.jpg?1684355407;Новый
Кофе«FRESCO»(Doppio,раст.с мол,ст/б)100г;7.3;3;6;https://img.unistore.by/UserFiles/images/catalog/Goods/1184/01531184/norm/thumbs/01531184.n_1_1000x1000.png.jpg?1684355407;Новый
